LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
26m         Normal    Created                 pod/presit-phase1-database-9xkpn          Created container wait-for-db
26m         Normal    Started                 pod/presit-phase1-database-9xkpn          Started container wait-for-db
26m         Normal    Pulling                 pod/presit-phase1-database-9xkpn          Pulling image "localhost:5000/presit-bdd-runner:v2.2"
26m         Normal    Started                 pod/presit-phase1-database-9xkpn          Started container bdd-runner
26m         Normal    Scheduled               pod/presit-phase1-database-9xkpn          Successfully assigned pre-sit/presit-phase1-database-9xkpn to presit-control-plane
26m         Normal    Created                 pod/presit-phase1-database-9xkpn          Created container bdd-runner
25m         Warning   BackoffLimitExceeded    job/presit-phase1-database                Job has reached the specified backoff limit
24m         Normal    Killing                 pod/postgres-0                            Stopping container postgres
24m         Normal    Scheduled               pod/postgres-0                            Successfully assigned pre-sit/postgres-0 to presit-control-plane
24m         Normal    Started                 pod/postgres-0                            Started container postgres
24m         Normal    Created                 pod/postgres-0                            Created container postgres
24m         Normal    Pulled                  pod/postgres-0                            Container image "postgres:16-alpine" already present on machine
24m         Normal    Pulling                 pod/vets-service-676bc85987-d4wwd         Pulling image "localhost:5000/petclinic-vets-service:v2.2"
24m         Normal    Created                 pod/vets-service-676bc85987-d4wwd         Created container app
24m         Normal    Pulled                  pod/visits-service-c6d6c9c59-xgpbs        Successfully pulled image "localhost:5000/petclinic-visits-service:v2.2" in 22ms (56ms including waiting). Image size: 119831278 bytes.
24m         Normal    ScalingReplicaSet       deployment/customers-service              Scaled up replica set customers-service-fff4c68f5 to 1
24m         Normal    Started                 pod/visits-service-c6d6c9c59-xgpbs        Started container app
24m         Normal    Killing                 pod/presit-phase2-application-5qk2t       Stopping container wait-for-phase1
24m         Normal    SuccessfulCreate        replicaset/customers-service-fff4c68f5    Created pod: customers-service-fff4c68f5-tbrgc
24m         Normal    ScalingReplicaSet       deployment/vets-service                   Scaled up replica set vets-service-676bc85987 to 1
24m         Normal    SuccessfulCreate        replicaset/visits-service-c6d6c9c59       Created pod: visits-service-c6d6c9c59-xgpbs
24m         Normal    Pulling                 pod/visits-service-c6d6c9c59-xgpbs        Pulling image "localhost:5000/petclinic-visits-service:v2.2"
24m         Normal    SuccessfulCreate        replicaset/vets-service-676bc85987        Created pod: vets-service-676bc85987-d4wwd
24m         Normal    Scheduled               pod/visits-service-c6d6c9c59-xgpbs        Successfully assigned pre-sit/visits-service-c6d6c9c59-xgpbs to presit-control-plane
24m         Normal    Started                 pod/vets-service-676bc85987-d4wwd         Started container app
24m         Normal    Killing                 pod/presit-phase4-e2e-decision-r5x7d      Stopping container wait-for-phase3
24m         Normal    Pulled                  pod/vets-service-676bc85987-d4wwd         Successfully pulled image "localhost:5000/petclinic-vets-service:v2.2" in 22ms (42ms including waiting). Image size: 120739217 bytes.
24m         Normal    Created                 pod/visits-service-c6d6c9c59-xgpbs        Created container app
24m         Normal    Scheduled               pod/vets-service-676bc85987-d4wwd         Successfully assigned pre-sit/vets-service-676bc85987-d4wwd to presit-control-plane
24m         Normal    ScalingReplicaSet       deployment/visits-service                 Scaled up replica set visits-service-c6d6c9c59 to 1
24m         Normal    Scheduled               pod/customers-service-fff4c68f5-tbrgc     Successfully assigned pre-sit/customers-service-fff4c68f5-tbrgc to presit-control-plane
24m         Normal    Pulling                 pod/customers-service-fff4c68f5-tbrgc     Pulling image "localhost:5000/petclinic-customers-service:v2.2"
24m         Normal    Pulled                  pod/customers-service-fff4c68f5-tbrgc     Successfully pulled image "localhost:5000/petclinic-customers-service:v2.2" in 19ms (20ms including waiting). Image size: 119840092 bytes.
24m         Normal    Created                 pod/customers-service-fff4c68f5-tbrgc     Created container app
24m         Normal    Started                 pod/customers-service-fff4c68f5-tbrgc     Started container app
24m         Normal    Killing                 pod/presit-phase3-integration-jsdc8       Stopping container wait-for-phase2
23m         Normal    ScalingReplicaSet       deployment/vets-service                   Scaled down replica set vets-service-867f77fb4c to 0 from 1
23m         Normal    SuccessfulDelete        replicaset/visits-service-698898ff99      Deleted pod: visits-service-698898ff99-nxfbw
